#Finding multiomics studies between 2000/01/01 and 2000/12/31
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2000/01/01[Date+-+Publication]:2000/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]
  Keywords=genomics,lipidomics; From=2000/01/01; To=2000/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics,glycomics,transcriptomics,metabolomics,epigenomics,metagenomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics,glycomics,transcriptomics,metabolomics,epigenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics,glycomics,transcriptomics,metabolomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics,glycomics,transcriptomics,epigenomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics,glycomics,metabolomics,epigenomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics,transcriptomics,metabolomics,epigenomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,glycomics,transcriptomics,metabolomics,epigenomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,proteomics,glycomics,transcriptomics,metabolomics,epigenomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=lipidomics,proteomics,glycomics,transcriptomics,metabolomics,epigenomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2011/01/01[Date+-+Publication]:2011/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics,glycomics,transcriptomics,metabolomics,epigenomics,metagenomics,phosphoproteomics; From=2011/01/01; To=2011/12/31; IDs=
#From 2011/01/01 to 2011/12/31 there were 15 multiomics studies
#Finding multiomics studies between 2012/01/01 and 2012/12/31
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]
  Keywords=genomics,lipidomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]
  Keywords=genomics,proteomics; From=2012/01/01; To=2012/12/31; IDs=24298232,24052736,23633915,23482088,23467513,23220349,29776260,24282707,25568036
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+glycomics[Other+Term]
  Keywords=genomics,glycomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=genomics,transcriptomics; From=2012/01/01; To=2012/12/31; IDs=24298232,24052743,23266393,23226612,23111104,22973290,22837821,29776260
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=genomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=29776260,22645570
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=genomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=23114014
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=23682295,22934093,22768370
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]
  Keywords=lipidomics,proteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+glycomics[Other+Term]
  Keywords=lipidomics,glycomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=lipidomics,transcriptomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=lipidomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=lipidomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=lipidomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+lipidomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=lipidomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]
  Keywords=proteomics,glycomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+proteomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=proteomics,transcriptomics; From=2012/01/01; To=2012/12/31; IDs=24298232,22934029,29776260,22590467,22412800,24910810
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+proteomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=proteomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=22934029,29776260,24910810
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+proteomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=proteomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+proteomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=proteomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+proteomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=proteomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=22787465,22291655
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=glycomics,transcriptomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+glycomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=glycomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+glycomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=glycomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+glycomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=glycomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+glycomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=glycomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+transcriptomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=transcriptomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=22934029,29776260,24910810
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+transcriptomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=transcriptomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+transcriptomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=transcriptomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+transcriptomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=transcriptomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+metabolomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=metabolomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+metabolomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=metabolomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+metabolomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=metabolomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=23543897
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+epigenomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=epigenomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+epigenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=epigenomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+metagenomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=metagenomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+proteomics[Other+Term]
  Keywords=genomics,lipidomics,proteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+glycomics[Other+Term]
  Keywords=genomics,lipidomics,glycomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=genomics,lipidomics,transcriptomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=genomics,lipidomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=genomics,lipidomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,lipidomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+lipidomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,lipidomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]+AND+glycomics[Other+Term]
  Keywords=genomics,proteomics,glycomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=genomics,proteomics,transcriptomics; From=2012/01/01; To=2012/12/31; IDs=24298232,29776260
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=genomics,proteomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=29776260
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=genomics,proteomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,proteomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+proteomics[Other+Term]+AND+phosphoproteomics[Other+Term]
  Keywords=genomics,proteomics,phosphoproteomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+glycomics[Other+Term]+AND+transcriptomics[Other+Term]
  Keywords=genomics,glycomics,transcriptomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+glycomics[Other+Term]+AND+metabolomics[Other+Term]
  Keywords=genomics,glycomics,metabolomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+glycomics[Other+Term]+AND+epigenomics[Other+Term]
  Keywords=genomics,glycomics,epigenomics; From=2012/01/01; To=2012/12/31; IDs=
#url=https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?retmax=100000&api_key=2760c5e3ddcf9b0c370088dde683c18c5f09&term=2012/01/01[Date+-+Publication]:2012/12/31[Date+-+Publication]+AND+genomics[Other+Term]+AND+glycomics[Other+Term]+AND+metagenomics[Other+Term]
  Keywords=genomics,glycomics,metagenomics; From=2012/01/01; To=2012/12/31; IDs=
